"","titles","prices","years","transmissions","make.1","make.2"
"1354","Toyota AXIO",NA," ","Automatic",Toyota,AXIO
"1355","Toyota Probox","1200000","2013 ","Automatic",Toyota,Probox
"1356","Suzuki Swift Sport","1230000","2011 ","Automatic",Suzuki,Swift Sport
"1357","Toyota Celica","320000","1993 ","Manual",Toyota,Celica
"1358","Honda CIVIC","880000","2005 ","Automatic",Honda,CIVIC
"1359","Nissan Altima",NA,"2013 ","Automatic",Nissan,Altima
"1360","Toyota wish","2080000","2012 ","Automatic",Toyota,wish
"1361","Honda Stream",NA,"2010 ","Automatic",Honda,Stream
"1362","Toyota Mark X Zio","1700000","2011 ","Tiptronic",Toyota,Mark X Zio
"1363","Toyota MARK X (PREMIUM 250G)","2680000","2013 ","Automatic",Toyota,MARK X (PREMIUM 250G)
"1364","Toyota Axio (2wd)","1980000","2014 ","Automatic",Toyota,Axio (2wd)
"1365","Subaru  IMPREZA SPORT",NA,"2013 ","Automatic",Subaru, IMPREZA SPORT
"1366","Toyota Noah",NA," ","Automatic",Toyota,Noah
"1367","Mitsubishi Lancer","790000","2007 ","Automatic",Mitsubishi,Lancer
"1368","Honda Civic VTI","790000","2003 ","Automatic",Honda,Civic VTI
"1369","Subaru  exiga","1770000","2011 ","Automatic",Subaru, exiga
"1370","Honda CR-V","4290000","2013 ","Automatic",Honda,CR-V
"1371","Nissan AD Wagon","890000","2012 ","Automatic",Nissan,AD Wagon
"1372","Honda CR-V","790000","2003 ","Automatic",Honda,CR-V
"1373","Toyota Coaster Bus","3200000","2009 ","Manual",Toyota,Coaster Bus
"1374","Lexus IS250","2899095","2012 ","Tiptronic",Lexus,IS250
"1375","Subaru  impreza","1350000","2011 ","Automatic",Subaru, impreza
"1376","Isuzu Tipper truck",NA,"2006 ","Automatic",Isuzu,Tipper truck
"1377","Mercedes-Benz ML350",NA," ","Automatic",Mercedes-Benz,ML350
"1378","Toyota Ractis","1495000","2013 ","Automatic",Toyota,Ractis
"1379","Honda Civic ","2700000","2016 ","Tiptronic",Honda,Civic 
"1380","GMC Sierra","1150000","2000 ","Manual",GMC,Sierra
"1381","Subaru  G4","2100000","2014 ","Automatic",Subaru, G4
"1382","Lexus GS250","4980000","2013 ","Automatic",Lexus,GS250
"1383","Honda CR-V","2100000","2011 ","Automatic",Honda,CR-V
"1384","Nissan Sentra","1890000","2013 ","Automatic",Nissan,Sentra
"1385","Toyota Mark X","2630000","2013 ","Automatic",Toyota,Mark X
"1386","Toyota Probox",NA," ","Automatic",Toyota,Probox
"1387","Toyota Probox",NA," ","Automatic",Toyota,Probox
"1388","Nissan Frontier","1600000","2006 ","Automatic",Nissan,Frontier
"1389","Suzuki jimmy","490000","2000 ","Automatic",Suzuki,jimmy
"1390","Toyota Mark X","2850000","2012 ","Automatic",Toyota,Mark X
"1391","Toyota Tundra","10600000","2014 ","Automatic",Toyota,Tundra
"1392","Nissan Lafesta","1e+06","2008 ","Automatic",Nissan,Lafesta
"1393","Toyota Estima",NA,"2012 ","Automatic",Toyota,Estima
"1394","Toyota Passo",NA,"2013 ","Automatic",Toyota,Passo
"1395","Toyota 110","6e+05","2000 ","Automatic",Toyota,110
"1396","Nissan Tiida","1190000","2012 ","Automatic",Nissan,Tiida
"1397","BMW X5",NA,"2009 ","Automatic",BMW,X5
"1398","Toyota Passo",NA,"2013 ","Automatic",Toyota,Passo
"1399","Toyota Mark X",NA,"2014 ","Automatic",Toyota,Mark X
"1400","Toyota Mark X Gs","4650000","2013 ","Automatic",Toyota,Mark X Gs
"1401","Toyota Corolla","2185000","2012 ","Tiptronic",Toyota,Corolla
"1402","Nissan Skyline 250GT","2350000","2012 ","Automatic",Nissan,Skyline 250GT
"1403","Suzuki Swift","1650000","2015 ","Automatic",Suzuki,Swift
"1404","Honda FIT Hybrid ","1020000","2010 ","Automatic",Honda,FIT Hybrid 
"1405","Subaru  Impreza G4",NA,"2013 ","Automatic",Subaru, Impreza G4
"1406","Honda CIVIC","2600000","2015 ","Automatic",Honda,CIVIC
"1407","Mitsubishi Outlander","1080000","2006 ","Automatic",Mitsubishi,Outlander
"1408","Hyundai I800","1980000","2012 ","Automatic",Hyundai,I800
"1409","Honda Stream",NA,"2012 ","Automatic",Honda,Stream
"1410","Toyota Coaster","1100000","1995 ","Manual",Toyota,Coaster
"1411","Honda Stream",NA,"2010 ","Automatic",Honda,Stream
"1412","Nissan Sunny B15","560000","2003 ","Automatic",Nissan,Sunny B15
"1413","Honda Stream","1320000","2009 ","Automatic",Honda,Stream
"1414","Toyota Ractis",NA,"2013 ","Automatic",Toyota,Ractis
"1415","Suzuki Swift","1599000","2015 ","Automatic",Suzuki,Swift
"1416","BMW 328i","5500000","2015 ","Automatic",BMW,328i
"1417","Daihatsu Hijet ","890000","2010 ","Automatic",Daihatsu,Hijet 
"1418","Nissan Skyline 250GT","1880000","2010 ","Automatic",Nissan,Skyline 250GT
"1419","Toyota Mark X",NA,"2013 ","Automatic",Toyota,Mark X
"1420","Toyota wish",NA,"2012 ","Automatic",Toyota,wish
"1421","Toyota wish",NA,"2006 ","Automatic",Toyota,wish
"1422","Nissan X Trail","780000","2005 ","Automatic",Nissan,X Trail
"1423","Toyota Auris RS","2100000","2012 ","Manual",Toyota,Auris RS
"1424","Toyota AXIO",NA,"2013 ","Automatic",Toyota,AXIO
"1425","Toyota MARK X 250 G","2750000","2013 ","Tiptronic",Toyota,MARK X 250 G
"1426","Jeep Wrangler Unlimited Sport ","5500000","2013 ","Automatic",Jeep,Wrangler Unlimited Sport 
"1427","Toyota Voxy","2450000","2012 ","Automatic",Toyota,Voxy
"1428","Toyota Rav 4",NA,"2012 ","Automatic",Toyota,Rav 4
"1429","Toyota  Premio","2850000","2013 ","Automatic",Toyota, Premio
"1430","Lexus IS250","32","2010 ","Automatic",Lexus,IS250
"1431","Honda Stream",NA,"2011 ","Automatic",Honda,Stream
"1432","Honda Civic EX","2650000","2016 ","Automatic",Honda,Civic EX
"1433","Mazda Demio","780000","2007 ","Automatic",Mazda,Demio
"1434","Nissan Teana",NA,"2013 ","Automatic",Nissan,Teana
"1435","Nissan LATIO",NA,"2013 ","Automatic",Nissan,LATIO
"1436","Suzuki Swift","1275000","2012 ","Automatic",Suzuki,Swift
"1437","Honda Stepwagon","2580000","2014 ","Tiptronic",Honda,Stepwagon
"1438","BMW 520i","4100000","2012 ","Automatic",BMW,520i
"1439","Subaru  Legacy",NA,"2013 ","",Subaru, Legacy
"1440","BMW 320D","3800000","2014 ","Tiptronic",BMW,320D
"1441","Nissan X-Trail",NA,"2014 ","Automatic",Nissan,X-Trail
"1442","Nissan Nissan skyline 250 GT","2300000","2011 ","Automatic",Nissan,Nissan skyline 250 GT
"1443","Land Rover ","350000","1996 ","Automatic",Land,Rover 
"1444","Toyota Rav 4","2950000","2013 ","Tiptronic",Toyota,Rav 4
"1445","BMW 530i","4200000","2012 ","Tiptronic",BMW,530i
"1446","Honda Accord",NA,"2013 ","Automatic",Honda,Accord
"1447","Toyota Voxy","1950000","2008 ","Automatic",Toyota,Voxy
"1448","Toyota Isis","1850000","2012 ","Automatic",Toyota,Isis
"1449","Honda HRV","3650000","2017 ","Automatic",Honda,HRV
"1450","BMW 435i ",NA,"2016 ","Automatic",BMW,435i 
"1451","Toyota Estima","1700000","2008 ","Automatic",Toyota,Estima
"1452","Toyota Axio (2wd)","1850000","2013 ","Automatic",Toyota,Axio (2wd)
"1453","Nissan Bluebird","390000","1999 ","Automatic",Nissan,Bluebird
"1454","Toyota TownAce",NA,"2012 ","Automatic",Toyota,TownAce
"1455","Mercedes-Benz 190","8e+05","1990 ","Automatic",Mercedes-Benz,190
"1456","Toyota AXIO","1890000","2014 ","Manual",Toyota,AXIO
"1457","Toyota Voxy","2450000","2012 ","Automatic",Toyota,Voxy
"1458","Honda Civic EX","2700000","2016 ","Automatic",Honda,Civic EX
"1459","Toyota Mark X Zio","2e+06","2011 ","Automatic",Toyota,Mark X Zio
"1460","Mazda Demio","1350000","2013 ","Automatic",Mazda,Demio
"1461","Ford Escape","2350000","2011 ","Automatic",Ford,Escape
"1462","Subaru  XV",NA,"2013 ","Automatic",Subaru, XV
"1463","Nissan Sunny B13","2e+05","1992 ","Automatic",Nissan,Sunny B13
"1464","Honda Civic Touring","2800000","2014 ","Automatic",Honda,Civic Touring
"1465","Mazda Axela Sport","1690000","2012 ","Automatic",Mazda,Axela Sport
"1466","Honda Fit",NA,"2014 ","Automatic",Honda,Fit
"1467","Ford F150","7e+05","2001 ","Automatic",Ford,F150
"1468","Chevrolet Malibu","2450000","2015 ","Automatic",Chevrolet,Malibu
"1469","Toyota Mark X",NA,"2012 ","Automatic",Toyota,Mark X
"1470","Honda Fit",NA,"2015 ","Automatic",Honda,Fit
"1471","Toyota Corolla Fielder ","1420000","2011 ","Automatic",Toyota,Corolla Fielder 
"1472","Mercedes-Benz C180","3e+06","2012 ","Automatic",Mercedes-Benz,C180
"1473","Toyota Probox","1280000","2013 ","Automatic",Toyota,Probox
"1474","Toyota Voxy","3e+06","2013 ","Automatic",Toyota,Voxy
"1475","Mitsubishi Galant Fortis",NA,"2012 ","Automatic",Mitsubishi,Galant Fortis
"1476","Honda Stream","18200000","2010 ","Automatic",Honda,Stream
"1477","Toyota Corolla","380000","1992 ","Automatic",Toyota,Corolla
"1478","Toyota Harrier","1100000","2001 ","Automatic",Toyota,Harrier
"1479","Toyota mark x",NA,"2013 ","Automatic",Toyota,mark x
"1480","Toyota Hiace","2750000","2011 ","Automatic",Toyota,Hiace
"1481","Honda Civic EX-L","2350000","2015 ","Automatic",Honda,Civic EX-L
"1482","Mazda Demio","1200000","2012 ","Automatic",Mazda,Demio
"1483","Chevrolet Avalanche",NA,"2007 ","Automatic",Chevrolet,Avalanche
"1484","Suzuki Swift","1500000","2015 ","Automatic",Suzuki,Swift
"1485","Nissan Note","1150000","2012 ","Automatic",Nissan,Note
"1486","Nissan Note","1350000","2013 ","Automatic",Nissan,Note
"1487","Toyota AXIO","1965000","2014 ","Automatic",Toyota,AXIO
"1488","Nissan AD Wagon",NA,"2013 ","Automatic",Nissan,AD Wagon
"1489","Toyota Axio (2wd)",NA,"2015 ","Automatic",Toyota,Axio (2wd)
"1490","Honda CIVIC","4500000","2017 ","Automatic",Honda,CIVIC
"1491","Nissan Teana","1990000","2012 ","Automatic",Nissan,Teana
"1492","Mitsubishi Ralliart Turbo","1200000","2007 ","Tiptronic",Mitsubishi,Ralliart Turbo
"1493","Toyota Vitz","1590000","2013 ","Automatic",Toyota,Vitz
"1494","Honda Accord Coupe","1250000","2008 ","Automatic",Honda,Accord Coupe
"1495","Nissan Wingroad","1200000","2011 ","Automatic",Nissan,Wingroad
"1496","Toyota Mark X",NA,"2012 ","Automatic",Toyota,Mark X
"1497","Nissan AD Wagon","980000","2012 ","Automatic",Nissan,AD Wagon
"1498","Toyota wish","2100000","2012 ","Automatic",Toyota,wish
"1499","Honda Civic ES1","620000","2000 ","Automatic",Honda,Civic ES1
"1500","Nissan Lafesta",NA,"2011 ","Automatic",Nissan,Lafesta
"1501","Subaru  Legacy",NA,"2013 ","Automatic",Subaru, Legacy
"1502","Toyota AXIO","953000","2013 ","Automatic",Toyota,AXIO
"1503","Lexus nx200t fsport",NA,"2017 ","Automatic",Lexus,nx200t fsport
"1504","Toyota Allion","3e+06","2014 ","Automatic",Toyota,Allion
"1505","Toyota Axio (2wd)",NA,"2015 ","Automatic",Toyota,Axio (2wd)
"1506","Mercedes-Benz C200","7300000","2016 ","Tiptronic",Mercedes-Benz,C200
"1507","Hino Ranger Truck","3200000","2004 ","Manual",Hino,Ranger Truck
"1508","Toyota Axio (2wd)",NA,"2015 ","Automatic",Toyota,Axio (2wd)
"1509","Nissan LATIO","1520000","2013 ","Automatic",Nissan,LATIO
"1510","Toyota Voxy","2280000","2012 ","Automatic",Toyota,Voxy
"1511","Toyota tundra","7800000","2014 ","Automatic",Toyota,tundra
"1512","Mitsubishi Colt","950000","2012 ","Automatic",Mitsubishi,Colt
"1513","Daihatsu Boon","740000","2012 ","Automatic",Daihatsu,Boon
"1514","Nissan AD Wagon","950000","2012 ","Automatic",Nissan,AD Wagon
"1515","Suzuki jimmy",NA,"2006 ","Manual",Suzuki,jimmy
"1516","Mitsubishi Proudia","3200000","2012 ","Manual",Mitsubishi,Proudia
"1517","Toyota Harrier",NA,"2012 ","Automatic",Toyota,Harrier
"1518","Nissan Almera SG-L","680000","2005 ","Automatic",Nissan,Almera SG-L
"1519","Toyota  Premio","2550000","2014 ","Automatic",Toyota, Premio
"1520","Acura TL","1800000","2010 ","Automatic",Acura,TL
"1521","Nissan Sunny ","650000","2005 ","Automatic",Nissan,Sunny 
"1522","Toyota AXIO","1820000","2013 ","Automatic",Toyota,AXIO
"1523","Nissan Serena","350000","1996 ","Automatic",Nissan,Serena
"1524","Suzuki Swift","1400000","2013 ","Automatic",Suzuki,Swift
"1525","BMW 116i","1770000","2009 ","Tiptronic",BMW,116i
"1526","Mercedes-Benz CLA 180",NA,"2018 ","Automatic",Mercedes-Benz,CLA 180
"1527","Honda CIVIC","2500000","2012 ","Automatic",Honda,CIVIC
"1528","Toyota Mark X","2650000","2012 ","Automatic",Toyota,Mark X
"1529","Isuzu Pick up","1390000","2007 ","Manual",Isuzu,Pick up
"1530","Suzuki Swift","1470000","2013 ","Automatic",Suzuki,Swift
"1531","Honda Odyssey","950000","2003 ","Automatic",Honda,Odyssey
"1532","Nissan Caravan","2250000","2012 ","Automatic",Nissan,Caravan
"1533","Honda CIVIC",NA,"2002 ","Automatic",Honda,CIVIC
"1534","Toyota Rav 4","3e+06","2013 ","Automatic",Toyota,Rav 4
"1535","Suzuki Swift","1650000","2015 ","Automatic",Suzuki,Swift
"1536","Toyota AXIO",NA,"2015 ","Automatic",Toyota,AXIO
"1537","Mazda Demio","1280000","2013 ","Automatic",Mazda,Demio
"1538","Honda Stream RSZ","1350000","2009 ","Tiptronic",Honda,Stream RSZ
"1539","Toyota Belta","1500000","2011 ","Automatic",Toyota,Belta
"1540","Suzuki Swift","1350000","2013 ","Automatic",Suzuki,Swift
"1541","Mercedes-Benz c 200 kompressor","1200000","2004 ","Automatic",Mercedes-Benz,c 200 kompressor
"1542","Honda Stream ZS",NA,"2011 ","Automatic",Honda,Stream ZS
"1543","Toyota Hiace bus ","2500000","2011 ","Automatic",Toyota,Hiace bus 
"1544","Toyota Caldina cat eye","950000","2005 ","Automatic",Toyota,Caldina cat eye
"1545","Honda Stream","1800000","2010 ","Automatic",Honda,Stream
"1546","Nissan Sylphy","2100000","2013 ","Automatic",Nissan,Sylphy
"1547","Mazda Demio","1299000","2013 ","Automatic",Mazda,Demio
"1548","Honda Fit",NA,"2012 ","Automatic",Honda,Fit
"1549","Toyota Fielder","1775000","2013 ","Automatic",Toyota,Fielder
"1550","Mitsubishi Lancer GLX ","370000","1999 ","Automatic",Mitsubishi,Lancer GLX 
"1551","Toyota Isis Platana","2e+06","2012 ","Automatic",Toyota,Isis Platana
"1552","Toyota Corolla Axio NEW SHAPE","1799000","2013 ","Automatic",Toyota,Corolla Axio NEW SHAPE
"1553","Isuzu Box Body Truck","1300000","1998 ","Manual",Isuzu,Box Body Truck
"1554","Nissan LATIO","1450000","2013 ","Automatic",Nissan,LATIO
"1555","Toyota  Mark X 250G","3590000","2013 ","Automatic",Toyota, Mark X 250G
"1556","Toyota Altis","930000","2006 ","Automatic",Toyota,Altis
"1557","Nissan Lafesta","910000","2007 ","Automatic",Nissan,Lafesta
"1558","Honda ACCORD CU2","2450000","2010 ","Tiptronic",Honda,ACCORD CU2
"1559","Toyota MARK2","550000","1995 ","Automatic",Toyota,MARK2
"1560","Honda CR-V",NA,"2003 ","Automatic",Honda,CR-V
"1561","Toyota Land Cruiser Prado","4500000","2013 ","Automatic",Toyota,Land Cruiser Prado
"1562","Land Rover Range Rover","2300000","2004 ","Automatic",Land,Rover Range Rover
"1563","Toyota probox Succeed","1350000","2013 ","Automatic",Toyota,probox Succeed
"1564","Honda Accard","2850000","2012 ","Automatic",Honda,Accard
"1565","Honda Accord","3200000","2013 ","Automatic",Honda,Accord
"1566","Honda CIVIC","3e+06","2016 ","Automatic",Honda,CIVIC
"1567","Toyota wish","2100000","2012 ","Automatic",Toyota,wish
"1568","Toyota AXIO","2350000","2015 ","Automatic",Toyota,AXIO
"1569","Mitsubishi Lancer","450000","2003 ","Automatic",Mitsubishi,Lancer
"1570","Nissan Tiida Latio","1150000","2012 ","Automatic",Nissan,Tiida Latio
"1571","Toyota Fielder",NA,"2012 ","Automatic",Toyota,Fielder
"1572","Toyota Hilux Vigo","2100000","2007 ","Automatic",Toyota,Hilux Vigo
"1573","Honda CIVIC","850000","2003 ","Automatic",Honda,CIVIC
"1574","Honda Accord","2500000","2011 ","Automatic",Honda,Accord
"1575","Honda Partner","4e+05","1998 ","Automatic",Honda,Partner
"1576","BMW 328i","3900000","2014 ","",BMW,328i
"1577","Toyota Isis","1690000","2012 ","Automatic",Toyota,Isis
"1578","Honda FIT Hybrid ","1850000","2013 ","Automatic",Honda,FIT Hybrid 
"1579","Honda CIVIC","950000","2007 ","Automatic",Honda,CIVIC
"1580","Honda Stream","670000","2003 ","Automatic",Honda,Stream
"1581","iveco  cooper","3700000","2011 ","Automatic",iveco, cooper
"1582","Nissan Bluebird","810000","2007 ","Automatic",Nissan,Bluebird
"1583","Mitsubishi L200","3e+06","2014 ","Manual",Mitsubishi,L200
"1584","Toyota Hiace",NA,"2012 ","Automatic",Toyota,Hiace
"1585","Honda CR-V",NA,"2015 ","Automatic",Honda,CR-V
"1586","Honda Odyssey sport",NA,"2012 ","Automatic",Honda,Odyssey sport
"1587","Kia Motors sportage","945000","2007 ","Automatic",Kia,Motors sportage
"1588","Toyota AURIS","1750000","2012 ","Automatic",Toyota,AURIS
"1589","Honda Fit","750000","2006 ","Automatic",Honda,Fit
"1590","Toyota AXIO","1690000","2012 ","Automatic",Toyota,AXIO
"1591","Hyundai I30","2390000","2014 ","Automatic",Hyundai,I30
"1592","Lexus 450H","6400000","2013 ","Tiptronic",Lexus,450H
"1593","Honda Accard","1150000","2004 ","Manual",Honda,Accard
"1594","Honda CIVIC",NA,"2003 ","Automatic",Honda,CIVIC
"1595","Honda CIVIC","3600000","2017 ","Automatic",Honda,CIVIC
"1596","Nissan Bluebird","240000","1994 ","Automatic",Nissan,Bluebird
"1597","Honda Accord Coupe","2200000","2011 ","Automatic",Honda,Accord Coupe
"1598","Honda Fit",NA,"2012 ","Automatic",Honda,Fit
"1599","BMW 320i","3380000"," ","Automatic",BMW,320i
"1600","Nissan Skyline 250GT","1900000","2010 ","Automatic",Nissan,Skyline 250GT
"1601","Mercedes-Benz C280","575000","1997 ","Automatic",Mercedes-Benz,C280
"1602","Honda Insight","1390000","2012 ","Automatic",Honda,Insight
"1603","Nissan Tiida Latio","1100000","2011 ","Automatic",Nissan,Tiida Latio
"1604","Honda Fit","1500000","2012 ","Automatic",Honda,Fit
"1605","Subaru  impreza",NA,"2012 ","Automatic",Subaru, impreza
"1606","Toyota AXIO  (2WD)","1899000","2013 ","Automatic",Toyota,AXIO  (2WD)
"1607","Toyota IPSUM","1070000","2005 ","Automatic",Toyota,IPSUM
"1608","Suzuki Swift","1590000","2014 ","Automatic",Suzuki,Swift
"1609","Mitsubishi Montero Sport","6e+05","2002 ","Automatic",Mitsubishi,Montero Sport
"1610","Toyota Wish ",NA,"2012 ","Automatic",Toyota,Wish 
"1611","Honda CIVIC","470000","1997 ","Automatic",Honda,CIVIC
"1612","Honda Odyssey",NA,"2012 ","Automatic",Honda,Odyssey
"1613","Honda Fit","1490000","2013 ","Automatic",Honda,Fit
"1614","Toyota Isis","1500000","2011 ","Tiptronic",Toyota,Isis
"1615","Suzuki Swift","1450000","2013 ","Automatic",Suzuki,Swift
"1616","Toyota Corolla XLI",NA,"2011 ","Automatic",Toyota,Corolla XLI
"1617","BMW 320i",NA,"2014 ","Tiptronic",BMW,320i
"1618","Toyota Voxy","2e+06","2010 ","Automatic",Toyota,Voxy
"1619","Mitsubishi Colt",NA,"2012 ","Automatic",Mitsubishi,Colt
"1620","Toyota Isis","1900000","2012 ","Automatic",Toyota,Isis
"1621","Nissan AD Wagon","1100000","2013 ","Automatic",Nissan,AD Wagon
"1622","Honda Fit",NA,"2012 ","Automatic",Honda,Fit
"1623","Honda Accord","2200000","2009 ","Automatic",Honda,Accord
"1624","Toyota Starlet","270000","1991 ","Manual",Toyota,Starlet
"1625","Daihatsu Terios","350000","1998 ","Automatic",Daihatsu,Terios
"1626","Honda CIVIC","830000","2005 ","Automatic",Honda,CIVIC
"1627","BMW 335i","4400000","2012 ","Tiptronic",BMW,335i
"1628","BMW 328i","1900000","2008 ","Automatic",BMW,328i
"1629","Toyota Mark X","4500000","2013 ","Automatic",Toyota,Mark X
"1630","Toyota Isis",NA,"2012 ","Automatic",Toyota,Isis
"1631","Toyota Altis","1050000","2006 ","Automatic",Toyota,Altis
"1632","Toyota Noah","2480000","2012 ","Automatic",Toyota,Noah
"1633","Nissan Lafesta","1280000","2012 ","Automatic",Nissan,Lafesta
"1634","Toyota Corona","5e+05","2002 ","Automatic",Toyota,Corona
"1635","Nissan AD Wagon",NA,"2012 ","Automatic",Nissan,AD Wagon
"1636","Lexus IS250","2999999","2010 ","Tiptronic",Lexus,IS250
"1637","Mitsubishi ASX","3300000","2015 ","Automatic",Mitsubishi,ASX
"1638","Lexus IS250","3550000","2012 ","Automatic",Lexus,IS250
"1639","Nissan Tiida","1e+06","2012 ","Automatic",Nissan,Tiida
"1640","Nissan Lafesta","950000","2010 ","Automatic",Nissan,Lafesta
"1641","Nissan Altima","850000","2006 ","Automatic",Nissan,Altima
"1642","Nissan AD Wagon","1150000","2014 ","Automatic",Nissan,AD Wagon
"1643","Toyota AURIS","1820000","2012 ","Tiptronic",Toyota,AURIS
"1644","Nissan Note","1350000","2013 ","Automatic",Nissan,Note
"1645","Honda Fit","2100000","2016 ","Automatic",Honda,Fit
"1646","Toyota Mark X Zio","2200000","2013 ","Automatic",Toyota,Mark X Zio
"1647","Honda Fit",NA,"2012 ","Automatic",Honda,Fit
"1648","Toyota Corolla Kingfish",NA,"2004 ","Automatic",Toyota,Corolla Kingfish
"1649","Toyota Crown ATHLETE",NA,"2011 ","Automatic",Toyota,Crown ATHLETE
"1650","Volkswagen Jetta","2600000","2014 ","Automatic",Volkswagen,Jetta
"1651","Toyota Isis",NA,"2012 ","Automatic",Toyota,Isis
"1652","BMW X6",NA,"2009 ","Automatic",BMW,X6
"1653","Honda Stream","1200000","2007 ","Automatic",Honda,Stream
"1654","Toyota haice bus","5e+05","1997 ","Automatic",Toyota,haice bus
"1655","Toyota AURIS","2300000","2014 ","Automatic",Toyota,AURIS
"1656","Honda Fit","1850000","2014 ","Automatic",Honda,Fit
"1657","Honda Accord LX","5e+05","2001 ","Automatic",Honda,Accord LX
"1658","Toyota Mark X","2650000","2012 ","Automatic",Toyota,Mark X
"1659","Toyota wish","2150000","2011 ","Automatic",Toyota,wish
"1660","Honda CIVIC","2200000","2013 ","Automatic",Honda,CIVIC
"1661","Mazda 6","1500000","2010 ","Manual",Mazda,6
"1662","Toyota AXIO","1290000","2011 ","Automatic",Toyota,AXIO
"1663","Toyota Corolla Police Shape","350000","1995 ","Automatic",Toyota,Corolla Police Shape
"1664","Toyota Rav 4","3500000","2014 ","Automatic",Toyota,Rav 4
"1665","Toyota WISH 1.8A","875000","2005 ","Automatic",Toyota,WISH 1.8A
